TransactionID,CustomerID,TransactionDate,Amount,TransactionType,PaymentMethod,ProcessingFee
TXN001,CUST001,2023-01-15,500,Subscription,Credit Card,15.00
TXN002,CUST001,2023-02-15,500,Subscription,Credit Card,15.00
TXN003,CUST001,2023-03-15,500,Subscription,Credit Card,15.00
TXN004,CUST002,2023-01-20,1800,Subscription,Bank Transfer,0.00
TXN005,CUST003,2023-02-01,50,Subscription,Credit Card,2.50
TXN006,CUST003,2023-03-01,50,Subscription,Credit Card,2.50
TXN007,CUST004,2023-02-10,12000,Subscription,Bank Transfer,0.00
TXN008,CUST005,2023-02-15,150,Subscription,Credit Card,7.50
TXN009,CUST005,2023-03-15,150,Subscription,Credit Card,7.50
TXN010,CUST006,2023-03-01,27000,Subscription,Bank Transfer,0.00
TXN011,CUST007,2023-03-05,150,Subscription,Credit Card,7.50
TXN012,CUST007,2023-04-05,150,Subscription,Credit Card,7.50
TXN013,CUST008,2023-03-10,50,Subscription,Credit Card,2.50
TXN014,CUST008,2023-04-10,50,Subscription,Credit Card,2.50
TXN015,CUST009,2023-03-15,12000,Subscription,Bank Transfer,0.00
TXN016,CUST010,2023-04-01,150,Subscription,Credit Card,7.50
TXN017,CUST010,2023-05-01,150,Subscription,Credit Card,7.50
TXN018,CUST011,2023-04-05,6000,Subscription,Bank Transfer,0.00
TXN019,CUST012,2023-04-10,150,Subscription,Credit Card,7.50
TXN020,CUST012,2023-05-10,150,Subscription,Credit Card,7.50
TXN021,CUST013,2023-04-15,50,Subscription,Credit Card,2.50
TXN022,CUST013,2023-05-15,50,Subscription,Credit Card,2.50
TXN023,CUST014,2023-05-01,27000,Subscription,Bank Transfer,0.00
TXN024,CUST015,2023-05-05,150,Subscription,Credit Card,7.50
TXN025,CUST015,2023-06-05,150,Subscription,Credit Card,7.50
TXN026,CUST016,2023-05-10,50,Subscription,Credit Card,2.50
TXN027,CUST016,2023-06-10,50,Subscription,Credit Card,2.50
TXN028,CUST017,2023-05-15,1800,Subscription,Bank Transfer,0.00
TXN029,CUST018,2023-06-01,50,Subscription,Credit Card,2.50
TXN030,CUST018,2023-07-01,50,Subscription,Credit Card,2.50
TXN031,CUST019,2023-06-05,12000,Subscription,Bank Transfer,0.00
TXN032,CUST020,2023-06-10,150,Subscription,Credit Card,7.50
TXN033,CUST020,2023-07-10,150,Subscription,Credit Card,7.50
TXN034,CUST021,2023-07-01,9000,Subscription,Bank Transfer,0.00
TXN035,CUST022,2023-07-05,150,Subscription,Credit Card,7.50
TXN036,CUST022,2023-08-05,150,Subscription,Credit Card,7.50
TXN037,CUST023,2023-07-10,50,Subscription,Credit Card,2.50
TXN038,CUST023,2023-08-10,50,Subscription,Credit Card,2.50
TXN039,CUST024,2023-07-15,12000,Subscription,Bank Transfer,0.00
TXN040,CUST025,2023-08-01,150,Subscription,Credit Card,7.50
TXN041,CUST025,2023-09-01,150,Subscription,Credit Card,7.50
TXN042,CUST026,2023-08-05,12000,Subscription,Bank Transfer,0.00
TXN043,CUST027,2023-08-10,1800,Subscription,Bank Transfer,0.00
TXN044,CUST028,2023-08-15,50,Subscription,Credit Card,2.50
TXN045,CUST028,2023-09-15,50,Subscription,Credit Card,2.50
TXN046,CUST029,2023-09-01,27000,Subscription,Bank Transfer,0.00
TXN047,CUST030,2023-09-05,150,Subscription,Credit Card,7.50
TXN048,CUST030,2023-10-05,150,Subscription,Credit Card,7.50
TXN049,CUST031,2023-09-10,6000,Subscription,Bank Transfer,0.00
TXN050,CUST032,2023-09-15,150,Subscription,Credit Card,7.50
